iter	Passed	Remaining
198	9785	29553
199	9840	29521
200	9886	29461
201	9927	29389
202	9964	29303
203	10007	29237
204	10035	29127
205	10076	29056
206	10126	29010
207	10171	28948
208	10225	28915
209	10279	28879
210	10322	28814
211	10351	28710
212	10400	28661
213	10446	28604
214	10499	28568
215	10536	28487
216	10583	28433
217	10612	28333
218	10652	28259
219	10696	28200
220	10741	28142
221	10789	28091
222	10836	28039
223	10890	28004
224	10919	27905
225	10979	27885
226	11033	27852
227	11084	27809
228	11127	27744
229	11189	27731
230	11226	27652
231	11254	27553
232	11304	275233233	11343	274234234	11398	27404
235	11453	27372
236	11505	27332
237	11534	272238238	11590	272239239	11647	27177
240	11691	27118
241	11742	27074
242	11770	269243243	11811	269244244	11857	26860
245	11899	26798
246	11939	26730
247	11966	266248248	12010	265249249	12061	265250250	12107	26481
251	12152	26427
252	12190	263253253	12229	262254254	12256	261255255	12302	261256	12371	26139
257257	12384	260258258	12424	259259259	12471	259260260	12504	258261261	12549	257262	12638	25804
263	12674	25732
264	12726	25694
265	12763	25622
266266	12756	254267	12853	25514
268	12891	25448
269	12942	25405
270	12998	25373
271	13053	25338
272	13081	25252
273	13127	25201
274	13207	25213
275	13235	25127
276	13284	25082
277	13345	25059
278	13391	25007
279	13461	24999
280	13526	24983
281	13558	24905
282	13610	24865
283	13654	24808
284	13703	24762
285	13746	24704
286	13773	24620
287	13849	24620
288	13884	24550
289	13921	24482
290	13965	24427
291	14005	24365
292	14054	24319
293	14081	24235
294	14120	24173
295	14165	24119
296	14211	24068
297	14240	23989
298	14277	23923
299	14322	23870
300	14369	23822
301	14408	23760
302	14466	23728
303	14502	23662
304	14557	23625
305	14586	23548
306	14635	23502
307	14681	23452
308	14727	23401
309	14755	23323
310	14799	23269
311	14843	23216
312	14885	23160
313	14937	23119
314	14992	23084
315	15061	23068
316	15107	23019
317	15140	22948
318	15170	22874
319	15205	22807
320	15262	22774
321	15312	22730
322	15340	22654
323	15380	22595
324	15425	22545
325	15452	22468
326	15483	22397
327	15526	22342
328	15578	22302
329	15632	22264
330	15673	22208
331	15701	22134
332	15742	22078
333	15791	22032
334	15845	21994
335	15893	21947
336	15938	21897
337	15992	21859
338	16030	21799
339	16085	21762
340	16113	21689
341	16152	21630
342	16212	21600
343	16248	21538
344	16301	21499
345	16337	21436
346	16371	21373
347	16430	21340
348	16472	21286
349	16526	21248
350	16570	21196
351	16613	21144
352	16667	21106
353	16736	21086
354	16764	21014
355	16830	20991
356	16858	20920
357	16889	20852
358	16947	20817
359	16980	20753
360	17030	20710
361	17068	20652
362	17126	20618
363	17154	20548
364	17195	20493
365	17224	20424
366	17269	20374
367	17317	20329
368	17359	20276
369	17414	20238
370	17463	20193
371	17509	20145
372	17561	20104
373	17592	20038
374	17632	19983
375	17682	19940
376	17725	19888
377	17773	19842
378	17824	19799
379	17858	19738
380	17913	19699
381	17943	19634
382	17975	19571
383	18021	19523
384	18062	19469
385	18124	19439
386	18166	19386
387	18194	19319
388	18238	19269
389	18282	19220
390	18332	19176
391	18369	19119
392	18403	19059
393	18449	19011
394	18477	18944
395	18518	18892
396	18565	18845
397	18621	18808
398	18668	18761
399	18710	18710
400	18755	18662
401	18783	18596
402	18829	18549
403	18870	18497
404	18902	18436
405	18946	18386
406	18991	18338
407	19019	18273
408	19073	18233
409	19110	18177
